"","klasifikasi","score","text"
"56","Negatif",-1,"personil sat polairud polres pangkalnang giat himbauan prokes keda masyarakat setar tpi ketang pangkalnan "
"57","Netral",0,"  kan ada duli lindungi "
"58","Negatif",-1,"help aku mau login a duli lindungi gak bisa karna aku udh ganti nomor h ta dahal aku udah ubah data dir "
"59","Positif",1," benul ka harus dicek lg di a duli lindungi udh ada tiketnya a blm kaa sejauh ini baru lansia sih ka"
"60","Netral",0," saya berharake den teknologi digital bisa dimanfaatkan sebaikbaiknya aikasi peduli lindungi seharusnya bisa menggan"
"61","Netral",0,"saya berharake den teknologi digital bisa dimanfaatkan sebaikbaiknya aikasi peduli lindungi seharusnya bisa "
"62","Negatif",-1," hari sejak ndemi di indonesia dan saya masih belum ham esensi scan duli lindungi tiamasuk ke kantor mall"
"63","Negatif",-3,"cerita si covid belum selesai di tengah yang katanya kita sudah mulai kembali normal ada lagi tuh si jenis varian b "
"64","Netral",0,"iam peduli lindungi lindungi dari jeratan kebal hukum farmasi"
"65","Positif",1," wkwkw bisanya ke duli lindungi"
"66","Positif",1," sia yang bertanggung jawab terkait peduli lindungipemilik pengembangngelola dan telkomkema"
"67","Positif",1,"sini yang butuh sertifikat vaksin dosis ambooster bisa langsung dm aku yaa oses cet aman rmanen tembus "
"68","Netral",0," kebocoran  juta data mypertamina udah berlangsung  minggu  miliar data peduli lindungi udah lebih dari  mingguta"
"69","Negatif",-2," cgv si engga ga d iksa ta kalo masuk mall nya kan scan duli lindungi dan setauku klo ga vaksin booster gak ijo pl nya"
"70","Positif",1," tergantung bioskoya sih ak cuma scan duli lindungi doang bisa masuk bioskoya"
"71","Netral",0," memang benar kak namun scan duli lindungi dgn indikator hijau harus booster ya kak"
"72","Netral",0,"back finally  menanti duli lindungi doi  sakit hatidoi  jokowi "
"73","Netral",0,"embeeeeer peduli lindungi diri"
"74","Netral",0,"halo ka butuh sertif vaksin tembus duli lindungi ta gausah vaksin aku bisa murah aja dibayar setelah sertifika "
"75","Positif",1,"butuh sertif vaksin tan vaksin bisa joki vaksin aja jasa vaksin dengan harga termurah dibayar setelah sertif ma "
"76","Positif",1,"back kondisiku terakhir peduli lindungi nafkahi peduli lindungi tinggali "
"77","Negatif",-1," krna ini twitter bukan duli lindungi "
"78","Netral",0," lindungi duli"
"79","Netral",0," on tembak vaksin tembus duli lindungiproses nya "
"80","Netral",0," ktdoanksertinya ga harus warga setemt bisa bebas jgn lu bukti sudah vaksin taha duli lindungi"
"81","Netral",0,"on jasa joki vaksin  sam boosteroses cet blm rnah vaksin bisa langsung full dosis tan menunggu la "
"82","Netral",0," barcode duli lindungi lah"
"83","Positif",1," dear wna yang mau liburan ke indonesia  a yang wajib kalian download peduli lindungi buat scan"
"84","Negatif",-1," jkt alarm peduli lindungi shani"
"85","Netral",0," duli lindungi bersamacianjur"
"86","Negatif",-1," masih bermasalah dengan duli lindungi kak"
"87","Negatif",-1," masih bermasalah dengan duli lindungi kak"
"88","Negatif",-1," masih bermasalah dengan duli lindungi kak"
"89","Negatif",-1," masih bermasalah dengan duli lindungi kak"
"90","Negatif",-1," masih bermasalah dengan duli lindungi kak"
"91","Negatif",-1," masih bermasalah dengan duli lindungi kak"
"92","Negatif",-1," masih bermasalah kak dengan duli lindungi"
"93","Negatif",-1," satgas covid mewajibkan warga negara asing yang berkunjung di indonesia untuk mengunduh aikasi duli lindungi yang"
"94","Negatif",-1," satgas covid mewajibkan warga negara asing yang berkunjung di indonesia untuk mengunduh aikasi duli lindungi yang"
"95","Negatif",-1,"satgas covid mewajibkan warga negara asing yang berkunjung di indonesia untuk mengunduh aikasi duli lindung "
"96","Positif",2," engga bayar kok kak kalo mau masuk tinggal scan barcode duli lindungi aja yuk ke rsnasss"
"97","Negatif",-1," audacity naruh jumlah ngguna duli lindungi "
"98","Netral",0," persis peduli lindungi"
"99","Positif",1,"asli orderan abang ini udah mau sebulan gak kelar kelar hak kemenkes gaada yg mau sinkronin data ler ini ming "
"100","Negatif",-1,"peduli lindungi  ga nih "
"101","Positif",1," emang msh ke duli lindungi a de"
"102","Negatif",-1,"haechan maksud you a ya ngelive modelannya kek bgni gilaa echan gue hamr stress liat lu modelan bgni anjir m "
"103","Negatif",-2,"pengendalian imei hadir bukti negara duli lindungi konsumen konsumen rugi negara n juga rugi "
"104","Netral",0," masuk situ scan duli lindungi ga bang udah lama ga ke mall karna blom booster "
"105","Netral",0,"tetangetweet masio gaonok seng duli lah meh ye wong peduli lindungi ae yo ra duli o meneh dee "
"106","Negatif",-1," kirim email ke alamat email duli lindungi bilang mau gabti nomor karena nomor yg lama sudah tidak aktif"
"107","Negatif",-1,"kaget gua kira ada logo duli lindungi "
"108","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"109","Netral",0," peduli lindungi nangiss"
"110","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"111","Netral",0,"on jasa joki vaksin  sam boosteroses cet blm rnah vaksin bisa langsung full dosis tan menunggu la "
"112","Negatif",-1," aku dulu jadi admin vaksin ya gitu kerjaan nya cuma int hasil tensi dan daftarin serta vaksin nya b "
"113","Positif",1,"sul eeh engga kok kak tadi sih cuma scan duli lindungi sblm masuk mall nyaaa"
"114","Positif",1," aku ke jt juni kemaren masih scan duli lindungi"
"115","Negatif",-2,"  hr yll istri sy tes covid di helix radio dalam dan hasil tes sitive namun sami saat ini tidak "
"116","Netral",0,"ini kenapa peduli lindungi ga konsisten banget sih anjg aing udah nyari vaksin dua moderna kemana mana tau gitu mah "
"117","Negatif",-1,"jasa tembak sertifikat vaksin dosis  boosterbooster ksa vaksin belum waktunya sinoram gotong "
"118","Netral",0,"peduli lindungi"
"119","Positif",1," sini yang butuh sertifikat vaksin dosis ambooster bisa langsung dm aku yaa oses cet aman r "
"120","Positif",1,"sini yang butuh sertifikat vaksin dosis ambooster bisa langsung dm aku yaa oses cet aman rmanen tembus "
"121","Netral",0,"nge duli lindungi nya error"
"122","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"123","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"124","Negatif",-1," jasa tembak sertifikat vaksin dosis  boosterbooster ksa vaksin belum waktunya sinoram "
"125","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"126","Positif",2," entahlah soalnya sejak gua balik indo itu aturannya udah ke yang bebas r cukuduli lindungi aja "
"127","Positif",2,"ada yg nya ssan sukses masuk aeon tb duli lindungi screen ios nda"
"128","Negatif",-1," hookako saiki wis dadi asset negara dibarcode  duli lindungikento teros  jamkliatan lebi tua"
"129","Negatif",-1,"personil sat polairud polres pangkalnang giat himbauan prokes keda masyarakat setar tpi ketang pangkalnan "
"130","Positif",1,"syarat dan ketentuan  peserta sudah menerima vaksinasi covid sebanyak  kali dengan bukti sertifikat vaksina "
"131","Positif",1," masuk aja nder ntar scan qr duli lindungi akses wifi disana smartlibrary"
"132","Positif",2," atitude hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami kerabat"
"133","Positif",2,"hmmmmdah cuiih lg ajasemangatberantas rnografi adalah tanggung jawab kita semua jangan tunggu sami k "
"134","Netral",0,"ndes saiki nek meh nonton o iseh kudu nggo duli lindungi"
"135","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"136","Negatif",-2," halah ngomong o toh ngguna seluler dan data aikasi peduli lindungi yg bocor a ka "
"137","Negatif",-3,"peduli lindungi adalah sr kesehatan yang dimana yang tuh akan diberi izin untuk keluar alih alih kontrol vir "
"138","Positif",1," halo kak dat kami informasikan rihal tersebut silakan distikan terlebih dahulu melalui web "
"139","Positif",1,"selamat pagi kudus rabu rencanakan aqad nikah bersama dirimubagaimana kamu menunjukkan da orang lain kamu "
"140","Positif",2," akah jika certificate di duli lindungi trouble a bisa diganti dengan radtest terima kasih"
"141","Negatif",-2,"karena duli lindungi gue eror jadi ga nonton tds  di chl gratizz "
"142","Negatif",-1,"ada a dengan dan duli lindungi selau loading lebih dari  menit"
"143","Netral",0," kayaknya kalo di website keliatannya strict sih kemaren juga sawat katanya kalo bel "
"144","Netral",0," kak rmisi mau tanya berkaitan dengan vaksinasi tanggal  desember di gedung sasana krida untuk "
"145","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"146","Netral",0," wkwkwkw iyaaa kalo ditanya tinggal liatin duli lindungi sih "
"147","Negatif",-1," oh tsebenernya gamng ga sih itu tinggal tunjukin duli lindungi aja kan udah ada sertifikat disitu"
"148","Positif",2," untuk terkait nelitian ini jujur ibadi media sosial memngaruhi ketertarikanndangan seseora "
"149","Netral",0,"uhuyyy bukti negara duli iphone bodong imei diblock ya emg harusnya gt dari dulu pengendalian imeilindungi ko "
"150","Negatif",-1,"jasa tembak sertifikat vaksin dosis  boosterbooster ksa vaksin belum waktunya sinoram gotong "
"151","Netral",0,"aturan pengendalian imei hadir sebagai bukti negara duli lindungi konsumen"
"152","Negatif",-2," ta emg serem si kak lewatin kuburan malem malem tuh btw buat yang mau bergian ta belum semt "
"153","Netral",0," surya tetethe best si kak btw buat yang mau bergian ta belum semt vaksin bisa banget m "
"154","Negatif",-2," inovasi yg sebenernya makin nyusahin ya kak btw buat yang mau bergian ta belum semt vaksin bi "
"155","Netral",0," pada lucu lucu rah memenya btw buat yang mau bergian ta belum semt vaksin b "
"156","Netral",0," waduhhh jorok bgt kakk btw buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu "
"157","Netral",0,"bukti negara duli dengan memblokir imei da hilegalpengendalian imeilindungi konsumen"
"158","Netral",0,"hadirnya pengendalian imei diharamenjadi bukti negara dulilindungi konsumen"
"159","Negatif",-2,"pengendalian imei hadir bukti negara duli lindungi konsumen konsumen rugi negara n juga rugi "
"160","Netral",0,"adanya ngendalian imei bukti negara duli rlindungan konsumen jadi gak gamng keti ti pengendalian imei "
"161","Negatif",-1," kan dan dimana kami yg sudah memroleh tiket vaksin booster kedua peduli lindungi dat menerima vaksin booster nya"
"162","Positif",1,"negara membuktikan duli lindungi konsumen dengan ngendalian imeipengendalian imei lindungi konsumen"
"163","Negatif",-3," mohon informasi kan dan dimana kami bisa mendatkan vaksin booster kedua kami sudah memroleh tiket peduli lindungi"
"164","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"165","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"166","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"167","Negatif",-2,"jog naik kereta harus install duli lindungi ya"
"168","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"169","Negatif",-1,"anjing selaluna ajak gelut ini duli lindungibiar ustadz emosiji hadako "
"170","Negatif",-2,"  kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari jika"
"171","Netral",0,"moots yg ham tlg redong aku bertanyaini duli lindungi kl misal di ngaturan cek in nambah anggota gini "
"172","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"173","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"174","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"175","Negatif",-1," pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib mematuh"
"176","Negatif",-1,"pagi dreamstan today is the dday buat kalian yg hari ini nonton dreamies tolong ya diingat untuk tetatertib "
"177","Negatif",-2," harus sudah booster karena jika blm s kamu scan check in duli lindungi status kamu denied access utk "
"178","Negatif",-3," iyaaa harus udah vaksin  dan disana ketat satmnya bener kaya ngeliatin duli lindungi kamu udah hijau atau belum"
"179","Netral",0," ada satun komentarnya yang membangun wkwkwk yang udah lah data duli lindungi gamng di ambil ini "
"180","Positif",1," terakhir kesana sih scan duli lindungi yaa"
"181","Negatif",-2,"sertif vaksin itu bisa muncul di duli lindungi brhari setelah vaksin wei gua udah sehari belum ada ini sertifnya"
"182","Netral",0," masih ada a duli lindungi euy jangan risau"
"183","Positif",1,"sini yang butuh sertifikat vaksin dosis ambooster bisa langsung dm aku yaa oses cet aman rmanen tembus "
"184","Negatif",-1,"kudu tetakuat disaat bermutasi virus kudu tetamawas diri disaat yang lain tak duli harus bisa menjaga saa "
"185","Negatif",-1," hahahha nggaaaa gue coba menerka nerka ajaa bardcode buat aan ga mgkn buat checkin duli lindungi khhhan "
"186","Negatif",-1,"mak gue bi ko td mama cari duli lingkungan dihmama gaada maksudnya duli lindungi"
"187","Negatif",-2,"  kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari jika"
"188","Positif",1,"kegiatan menanam hon satu hon sejuta manfaatinstagram veteranemail lingkunganhidu "
"189","Negatif",-2,"  kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari jika"
"190","Negatif",-1," kalo bisa boleh deh ada disc ke a duli lindungi ga ya"
"191","Netral",0,"on jasa joki vaksin  sam boosteroses cet blm rnah vaksin bisa langsung full dosis tan menunggu la "
"192","Positif",1,"reservasi online di baru kita dat barcode kunjungan sami di sana cuma scan aikasi "
"193","Positif",1," mulya achmadi kasian banget ya dia gak merasakan enaknya tinggal di indonesia yg maju "
"194","Netral",0," lha iya itu emang diain sih kyk scan duli lindungi "
"195","Netral",0," kebocoran  juta data mypertamina udah berlangsung  minggu  miliar data peduli lindungi udah lebih dari  mingguta"
"196","Negatif",-1,"etmin fanbase switson baiknya kita camign duli lindungi rambut beliau"
"197","Negatif",-1," nggak kok int di kertas hvs juga ga malah bets kemarin aku gak dicek cuma disuruh checkin duli lindungi aja"
"198","Netral",0," kan duli lindungi bisa grup"
"199","Negatif",-1," bawa tiket tissue sama download a duli lindungivaksinnya harus ijo"
"200","Negatif",-3,"scan duli lindungi juga udah ga rnah wajib lagisama ga usah scan buka aja gate sebelah timur deket rkiran "
"201","Netral",0," wah aku belom ada sertifikat boleh ga sih cmn nunjukin duli lindungi doang"
"202","Netral",0,"jasa joki vaksin  sami booster tembus duli lindungimelayani vaksin sinoarmgotong royongvaksin dobelum "
"203","Netral",0,"bisnis cakun vaksinasi di china merukan yg tertinggi dan terketat di dunia "
"204","Netral",0,"mum is out masih bal bal sih ta atleast duli lindungi udah hejo again"
"205","Netral",0,"duli lindungi "
"206","Netral",0," eta itu duli lindungi udah ijo belom wkwkwk"
"207","Negatif",-1,"peduli lindungi wkwj gada kuota di luar s mau scan sama genie music bcs gada freess "
"208","Positif",1," beli tiket skrg lgsg aktif duli lindungi kah mas terakhir cuman tes swab blm vaksin "
"209","Netral",0," udah aman kalo uda negatif atigennya di aikasi duli lindungi juga udah sti ijo kalo uda  hari"
"210","Netral",0," untuk vaksin dosis rtamabelum vaksin maka belum bisa melakukan nerbangan serta menggunakan aik "
"211","Positif",2," hah masaa bisa setauku vv moderna aja bisa diint izer masa coronavac gabisa dateng lagi aja ke "
"212","Negatif",-2,"  kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari jika"
"213","Netral",0," yang duli memang cuma lindungi"
"214","Negatif",-1,"padahal w dah booster kena ga bisa scan duli lindungi sii  udah komain ke wa ta belum di oses oses"
"215","Positif",1,"askrl gais di java mall semarang kalo masuk scan ke duli lindungi ato ngga ya"
"216","Negatif",-1," itu buat jaga jaga aja sih takut ga ada sinyal buat buka duli lindungi"
"217","Negatif",-1,"jasa tembak sertifikat vaksindosis  boosterbooster ksa vaksin belum waktunya sinoram gotong "
"218","Negatif",-2,"  kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari jika"
"219","Positif",1," bikin guyuban duli lindungi irma "
"220","Netral",0," selamat siang kak perjalanan dengan ka jarak jauh bagi numng usia  tahun ke atas wajib sudah vaksi "
"221","Netral",0," buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu buat urus vaksin resmi ta "
"222","Negatif",-1,"dear aku uda vaksin booster ta di duli lindungi ga terdaftar booster aku ta aku nya kartu vaksin d "
"223","Netral",0," buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu buat urus vaksin resmi ta "
"224","Netral",0," buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu buat urus vaksin resmi t "
"225","Netral",0," buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu buat urus vaksin resmi ta "
"226","Netral",0," buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu buat urus vaksin resmi ta "
"227","Negatif",-1,"buat yang mau bergian ta belum semt vaksin bisa banget mimin bantu buat urus vaksin resmi tan suntik dan t "
"228","Positif",2,"satm di gedung gue teh udah mah gak ramah ya kek aing sudah tersenyum mau menya selamat gi ta mereka malah "
"229","Negatif",-2,"  kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari jika"
"230","Negatif",-1,"personil sat polairud polres pangkalnang giat himbauan prokes keda masyarakat setar tpi ketang pangkalnan "
"231","Netral",0," untungnya hcuma isi wa twitter livescores stify kaskus bca mobile peduli lindungi grabgojek wis cuku"
"232","Netral",0," pas scan duli lindungi di bandara gak lolos semua pada belum booster kyknya "
"233","Negatif",-1,"jasik ye isok istirahat diganggui ae karo ngurus administrasi rsud bangil lah babinsa bangil lah akeh eram gak "
"234","Netral",0,"yukk test covid  di dd klinik citathasilnya meriksaan sudah terintegrasi dengan aikasi peduli lindungida "
"235","Negatif",-4,"didu betul dan oligarki berusaha melanggengkan kekuasaannya dan ngga duli rakyat jd susah dan di adudomba "
"236","Netral",0," peran peduli lindungi dalam rhelatan g ta ini sotoy aja"
"237","Positif",1," asheljkt sya lagi mode duli lindungi "
"238","Negatif",-2,"lindungi a n yang nting bagi anda dengan kedua tangan tidak duli sebera sulit atau sedih itu kaizane "
"239","Positif",1," kalo udah nya aikasi shoe gojek ngga usah ke duli lindungi lagi bisa lewat aikasi gojekshoe"
"240","Netral",0,"oyi rek iki as duli lindungi sek kanggo a hu kentang ngin bersihbersih memori"
"241","Netral",0,"peduli lindungi "
"242","Netral",0,"peduli lindungi belom keuate w jd gabisa kmn "
"243","Positif",1,"keren bgt ini duli lindungi langsung uate "
"244","Negatif",-5," adel sakit a cet sembuh ya kamu di lindungi dua orang baik dan duli sama kamu you are lucky "
"245","Negatif",-3,"  jasa vaksin tanpa suntiktembus peduli lindungi legal ya tidak perlu di suntik tidak perlu ribettidak perlu a"
"246","Negatif",-3,"jasa vaksin tanpa suntiktembus peduli lindungi legal ya tidak perlu di suntik tidak perlu ribettidak perl "
"247","Negatif",-3," ask serius nanya sekarang ni a peduli lindungi masih berguna kaga ya kalau kaga gua has ni a"
"248","Negatif",-3,"ask serius nanya sekarang ni a peduli lindungi masih berguna kaga ya kalau kaga gua has ni a"
"249","Negatif",-2," kominfo dan bssn data di peduli lindungi aman karena keamananya berlas dan dienkriisekarang sebanyak  milyar data"
"250","Negatif",-2," kominfo dan bssn data di peduli lindungi aman karena keamananya berlas dan dienkriisekarang sebanyak  milyar data"
"251","Negatif",-2," sama serti jaman nazi diteraan sekarang bukan duli kontoli lindungi"
"252","Netral",0," udah scan duli lindungi "
"253","Netral",0," yang sti aikasi duli lindungi mereka warna merah dan gak bisa masuk kemanamana"
"254","Netral",0," kebocoran  juta data mypertamina udah berlangsung  minggu  miliar data peduli lindungi udah lebih dari  mingguta"
"255","Netral",0,"sekte barcode duli lindungi  "
"256","Netral",0,"on jasa joki vaksin  sam boosteroses cet blm rnah vaksin bisa langsung full dosis tan menunggu la "
"257","Netral",0," barcode duli lindungi bukannya discan malah disembah "
"258","Netral",0," barcode duli lindungi bukannya discan malah disembah "
"259","Positif",1," fyi nder gue udh bolak balik naik sawat slama ndemi gak rnah ada cek vaksin atau bahkan scan d "
"260","Negatif",-1,"kalo sistem duli lindungi ala tiongkokalgoritmanya merah kuning hijau berdasarkan ketuhan yang pcr tiahari "
"261","Netral",0," barcode duli lindungi bukannya discan malah disembah "
"262","Netral",0,"menyembah peduli lindungi "
"263","Netral",0," barcode duli lindungi bukannya discan malah disembah "
"264","Netral",0,"mau buka ifake yang kebuka malah duli lindungi bgst"
"265","Negatif",-2," masalahnya kadang di aikasi duli lindungi ada yg informasi vaksinnya ga muncul "
"266","Netral",0," masih scan duli lindungi teu"
"267","Netral",0," "
"268","Positif",1,"kayak ak ingin terlihat tangguh n strong n keren kl temen cewe aku kesusahan tkl ad km aing lgsg jadi cewe fragil "
"269","Netral",0,"on jasa joki vaksin  sam boosteroses cet blm rnah vaksin bisa langsung full dosis tan menunggu la "
"270","Netral",0," flow nya jadi kurleb begini lah purchase request gt check peduli lindungi gt show warning gt continue with consent"
"271","Negatif",-1," jangan lu nanti scan duli lindungi ya wkwk"
"272","Netral",0," jasa tembak vaksin detek peduli lindungi"
"273","Netral",0," kebocoran  juta data mypertamina udah berlangsung  minggu  miliar data peduli lindungi udah lebih dari  mingguta"
"274","Positif",1,"sini yang butuh sertifikat vaksin dosis ambooster bisa langsung dm aku yaa oses cet aman rmanen tembus "
"275","Positif",1," min mau tanya sekarang naik krl masih scan duli lindungi gak terus bisa gak kalau cuman vaksin do "
"276","Netral",0,"min mau tanya sekarang naik krl masih scan duli lindungi gak terus bisa gak kalau cuman vaksin dosis  belum bo "
"277","Netral",0,"barcode duli lindungi bukannya discan malah disembah "
"278","Netral",0," kebocoran  juta data mypertamina udah berlangsung  minggu  miliar data peduli lindungi udah lebih dari  mingguta"
"279","Negatif",-1,"halo teman teman saya menawarkan jasa sertifikat vaksin dosis  dan  per dosis k bagi yg berminat silahka "
"280","Netral",0,"flow nya jadi kurleb begini lah purchase request gt check peduli lindungi gt show warning gt continue with consent"
